artist,title,mood,original_mood,lyrics
Taylor Swift,You Belong With Me,1,happy,"You're on the phone with your girlfriend, she's upset
She's going off about something that you said
'Cause she doesn't get your humor like I do
I'm in the room, it's a typical Tuesday night
I'm listening to the kind of music she doesn't like
And she'll never know your story like I do

But she wears short skirts, I wear T-shirts
She's Cheer Captain, and I'm on the bleachers
Dreaming about the day when you wake up and find
That what you're looking for has been here the whole time

If you could see that I'm the one who understands you
Been here all along, so why can't you see?
You belong with me, you belong with me

Walk in the streets with you in your worn-out jeans
I can't help thinking this is how it ought to be
Laughing on a park bench, thinking to myself
...

******* This Lyrics is NOT for Commercial use *******"
The World/Inferno Friendship Society,Only Anarchists Are Pretty,1,happy,"And if we should be arrested
Before we sleep,
I'll see you outside in a few days
Or, in a few weeks.
And if you should be shot
Trying to escape,
I'll know that
For the lie that's written on it's face.
Well, alright.

And if we don't live to be
Old and faint,
It will be because we got lazy
And forgot to get away.
When we were young
You were the best thing going,
I struggled mightly to keep
My hands to myself
After watching you strut down the street
...

******* This Lyrics is NOT for Commercial use *******"
Tiger Lou,Like my very own blood,3,sad,"I promise you better things from now on
I'm gonna love you like my own son
no more then me that you use to meet out here
at night I swear, I swear

I'm gonna love you like my very own son
like my very own blood
I swear
I'm gonna love you like my very own son
like my very own blood
I swear
I will love you right there

...

******* This Lyrics is NOT for Commercial use *******"
Slayer,Spiritual Law,0,angry,"It's time to be born again, don't talk about sex, that's a sin
Confess your evils to the man, he'll do everything he can
Don't go mass, you'll go to Hell, we'll all be there, it'll be swell

Ruling your lives with such lies
You won't survive

We're being sucked up into the vacuum culture
This way, this way, it's too late, you're addicted
Come on, control yourself, snatch that bottle off the shelf
You're trapped now with spiritual law, spiritual law

Fiddle with your rosaries, holy water makes me bleed
Attach that cross to to my head, it may burn, but it won't be dead

Go burn your rosaries, go burn it all
Death to us all

It is time to congregate the mindless sheep, don't be late
You'll be slammed, you'll be mould, you'll be thrown into the walls
...

******* This Lyrics is NOT for Commercial use *******"
COLD,Stupid Girl,0,angry,"Wanna love ya, wanna bug ya
Wanna squeeze ya, stupid girl
Wanna touch ya, wanna take ya
Wanna shut ya, stupid girl

I can't take this
Born to break this

She's going away (she's going away)
What's wrong with my life today?
She's going away (she's going away)
What's wrong with my life today?

Stupid girl
Stupid girl

...

******* This Lyrics is NOT for Commercial use *******"
Grand Archives,Torn Blue Foam Couch,2,relaxed,"Hold on the further waves are high,
sleepless every night,
lie down shading your eyes from everyone.

Hey darlin' don't you look fine,
so blue all the time,
when you're terrified.

Over and over the lines
you memorized in time,
now you're so tired
and the telephone's too far away.

Phone lives have taken all your time,
...

******* This Lyrics is NOT for Commercial use *******"
Ania,Turu Tu Tu...,3,sad,"Odejdź, gdy już będziesz miał mnie dość
Ze mną trudno żyć, problemów sto
Niespokojną ziemię pod stopami ciągle mam
Przy mnie zawsze będziesz sam

Turu tu tu turururu
Turu tu tu turururu
Turu tu tu turururu
Turu tu tu turu tu tu tu

Turu tu tu turururu
Turu tu tu turururu
Turu tu tu turururu
...

******* This Lyrics is NOT for Commercial use *******"
Reel Big Fish,"New York, New York",1,happy,"Start spreadin' the news
I'm leaving today
I want to be a part of it
New York, New York
These vagabond shoes
Are longing to stray
Right through the very heart of it
New York, New York

I want to wake up in a city
That doesn't sleep
And find I'm king of the hill
Top of the heap

...

******* This Lyrics is NOT for Commercial use *******"
Loverboy,Hot Girls In Love,1,happy,"She's so young at heart
She likes the pleasure of his company
She cuts the inside groove
With her silver spoon
She likes her tapes on 10
And it's the same as her anatomy
She's on a rainbow cruise
All the way to my room

She's turnin' on the heat
She's got the magic touch
She's turnin' on the heat
And it's a little too much
She's turnin' on the heat
And it's a hundred above yeah
Hot girls in love
I'm in love

Too many men to please
She counts them all on her rosary
You know you might get burned
So be careful where you touch
She gets it when she can
...

******* This Lyrics is NOT for Commercial use *******"
Judas Priest,Bullet Train,0,angry,"Sunrise showing every flaw
Paying for the night before
Dark eyes, scanning every vein
Exploding - cannot stand the strain

With each new mileThey death defy me
Standing on trialScrutinize me
And questionize my
Strong denial

Bullet bullet bullet train
Piercing through my brain

Windows illuminating stains
Breakdown closing in again
Freefall as I close my eyes
...

******* This Lyrics is NOT for Commercial use *******"
The Foreshadowing,The Wandering,3,sad,"Our souls are not ready for life
We're gonna have a fight
Our souls try to be swept from our bodies
Coming out to the streets
They'll complete what we did
Or what we wished to destroy they'll mess
Up, despite the next

Outside our souls react to raging crowds, tonight
They'll kill and demonstrate what fight is all about

Inside I'm wandering, wandering
...

******* This Lyrics is NOT for Commercial use *******"
Erik Hassle,Hurtful,3,sad,"I used to laugh it off
I used to look the other way
I used to save them troubles for another day
I kept my fingers crossed
I used to never take the blame
I'd pull a sunshine story in a pouring rain
The more I had to change I'd just stay the same

(The same, the same, I stayed the same)

You don't know what you got till you're missing it a lot
I had to go throw it away
I was wrong from the start from the bottom of my heart I apologize
What I did to you was hurtful
What I'm going through is hurtful
...

******* This Lyrics is NOT for Commercial use *******"
Good Charlotte,Girls & Boys,1,happy,"Educated with money
He's well dressed, not funny

And not much to say in most conversations
But he'll foot the bill in all situations
'Cause he pays for everything

Girls don't like boys
Girls like cars and money
Boys will laugh at girls
When they're not funny

Paper or plastic
Don't matter, she'll have it
Vacations and shopping sprees
These are a few of her favorite things

...

******* This Lyrics is NOT for Commercial use *******"
Riverside,Before,3,sad,"I've become resistant to myself
To my weaknesses and pain
I've become the one who wants to live
And just feel alive again

I've changed myself
I've changed
I've changed myself
...

******* This Lyrics is NOT for Commercial use *******"
Saybia,The One For You,3,sad,"I hold a picture in my hand, and though I understand
I'm drifting into space, your eyes are covered by a cloud
Containing all your doubts, you held your lies with grace

I'm not the one for you, I'm not the one for you
You are the one for me

I'm not the one for you, I'm not the one for you
You are the one for me

...

******* This Lyrics is NOT for Commercial use *******"
The Jam,Bricks And Mortar,0,angry,"Bricks and mortar, reflecting social change,
Cracks in the pavement, reveal cravings for success
Why do we try to hide our past
By pulling down houses and build car parks
Windows and mirrors like a two-way glass
This is progress, nothing stands in its path
...

******* This Lyrics is NOT for Commercial use *******"
Symphony X,The Divine Wings Of Tragedy,3,sad,"On the edge of paradise
Tears of woe fall, cold as ice
Hear my cry
Renounce, have you, thy name
Eternal is my pain

Eternal is the pain that leads me (is my)
To the thrones of temptation (pain that)
Leads me to the thrones of temptation
(Leads me to the thrones of temptation)
Eternal (eternal) is my pain
That leads me to the thrones (that leads me to temptation)

There was a time
When choirs sang the endless melody
Of light, music of the spheres
There was a place
Where mortals embraced thunder and majesty
Their fate lay in our hands

Feel my wings slowly fading
Forever lost in time
I cry

The burning conflict I'm feeling
It summons me to descend into the other side
And just beyond the stars blazing
...

******* This Lyrics is NOT for Commercial use *******"
Nirvana,Scentless Apprentice,0,angry,"Like most babies, smell like butter
His smell smelled like no other
He was born scentless and senseless
He was born a scentless apprentice

Away
Go away
Go away

Every wet nurse refused to feed him
Electrolytes smell like semen
...

******* This Lyrics is NOT for Commercial use *******"
Deborah Harry,End Of The Run,3,sad,"Darkness falls like
A black leather jacket
And melts into the sidewalk
Like a sleeping drunk
In the streets, the wind
Throws yesterday's headlines around
Another night comes and goes
So for awhile back then
There was someplace to go
Somewhere more home than a house
A family of choice not an accident
But sometimes as soon as something
Gets started it's over
Now the days are much shorter
And the people from the good part of town
All come around, but the something is missing
Even though there's more there now
I shrug off my attempts to explain
How a torn T-shirt made it all danger again
I don't like flashbacks in movies
I like the story to proceed
I don't like talking about the old days
Except if it tells where the future will lead
So we take a walk down this haunted hall
Or stumble through a shattered recall
I know there's nothing to relive
...

******* This Lyrics is NOT for Commercial use *******"
