artist,title,mood,original_mood,lyrics,word_count,avg_word_length
Reel Big Fish,"New York, New York",1,happy,"Start spreadin the news
Im leaving today
I want to be a part of it
New York New York
These vagabond shoes
Are longing to stray
Right through the very heart of it
New York New York

I want to wake up in a city
That doesnt sleep
And find Im king of the hill
Top of the heap

",59,3.593220338983051
Loverboy,Hot Girls In Love,1,happy,"Shes so young at heart
She likes the pleasure of his company
She cuts the inside groove
With her silver spoon
She likes her tapes on 10
And its the same as her anatomy
Shes on a rainbow cruise
All the way to my room

Shes turnin on the heat
Shes got the magic touch
Shes turnin on the heat
And its a little too much
Shes turnin on the heat
And its a hundred above yeah
Hot girls in love
Im in love

Too many men to please
She counts them all on her rosary
You know you might get burned
So be careful where you touch
She gets it when she can
",114,3.7280701754385963
Judas Priest,Bullet Train,0,angry,"Sunrise showing every flaw
Paying for the night before
Dark eyes scanning every vein
Exploding  cannot stand the strain

With each new mileThey death defy me
Standing on trialScrutinize me
And questionize my
Strong denial

Bullet bullet bullet train
Piercing through my brain

Windows illuminating stains
Breakdown closing in again
Freefall as I close my eyes
",56,5.357142857142857
The Foreshadowing,The Wandering,3,sad,"Our souls are not ready for life
Were gonna have a fight
Our souls try to be swept from our bodies
Coming out to the streets
Theyll complete what we did
Or what we wished to destroy theyll mess
Up despite the next

Outside our souls react to raging crowds tonight
Theyll kill and demonstrate what fight is all about

Inside Im wandering wandering
",64,4.390625
Erik Hassle,Hurtful,3,sad,"I used to laugh it off
I used to look the other way
I used to save them troubles for another day
I kept my fingers crossed
I used to never take the blame
Id pull a sunshine story in a pouring rain
The more I had to change Id just stay the same

The same the same I stayed the same

You dont know what you got till youre missing it a lot
I had to go throw it away
I was wrong from the start from the bottom of my heart I apologize
What I did to you was hurtful
What Im going through is hurtful
",108,3.5462962962962963
Good Charlotte,Girls & Boys,1,happy,"Educated with money
Hes well dressed not funny

And not much to say in most conversations
But hell foot the bill in all situations
Cause he pays for everything

Girls dont like boys
Girls like cars and money
Boys will laugh at girls
When theyre not funny

Paper or plastic
Dont matter shell have it
Vacations and shopping sprees
These are a few of her favorite things

",67,4.447761194029851
Riverside,Before,3,sad,"Ive become resistant to myself
To my weaknesses and pain
Ive become the one who wants to live
And just feel alive again

Ive changed myself
Ive changed
Ive changed myself
",31,4.483870967741935
Saybia,The One For You,3,sad,"I hold a picture in my hand and though I understand
Im drifting into space your eyes are covered by a cloud
Containing all your doubts you held your lies with grace

Im not the one for you Im not the one for you
You are the one for me

Im not the one for you Im not the one for you
You are the one for me

",68,3.4558823529411766
The Jam,Bricks And Mortar,0,angry,"Bricks and mortar reflecting social change
Cracks in the pavement reveal cravings for success
Why do we try to hide our past
By pulling down houses and build car parks
Windows and mirrors like a twoway glass
This is progress nothing stands in its path
",45,4.6
Symphony X,The Divine Wings Of Tragedy,3,sad,"On the edge of paradise
Tears of woe fall cold as ice
Hear my cry
Renounce have you thy name
Eternal is my pain

Eternal is the pain that leads me is my
To the thrones of temptation pain that
Leads me to the thrones of temptation
Leads me to the thrones of temptation
Eternal eternal is my pain
That leads me to the thrones that leads me to temptation

There was a time
When choirs sang the endless melody
Of light music of the spheres
There was a place
Where mortals embraced thunder and majesty
Their fate lay in our hands

Feel my wings slowly fading
Forever lost in time
I cry

The burning conflict Im feeling
It summons me to descend into the other side
And just beyond the stars blazing
",133,4.180451127819549
Nirvana,Scentless Apprentice,0,angry,"Like most babies smell like butter
His smell smelled like no other
He was born scentless and senseless
He was born a scentless apprentice

Away
Go away
Go away

Every wet nurse refused to feed him
Electrolytes smell like semen
",40,4.625
Deborah Harry,End Of The Run,3,sad,"Darkness falls like
A black leather jacket
And melts into the sidewalk
Like a sleeping drunk
In the streets the wind
Throws yesterdays headlines around
Another night comes and goes
So for awhile back then
There was someplace to go
Somewhere more home than a house
A family of choice not an accident
But sometimes as soon as something
Gets started its over
Now the days are much shorter
And the people from the good part of town
All come around but the something is missing
Even though theres more there now
I shrug off my attempts to explain
How a torn Tshirt made it all danger again
I dont like flashbacks in movies
I like the story to proceed
I dont like talking about the old days
Except if it tells where the future will lead
So we take a walk down this haunted hall
Or stumble through a shattered recall
I know theres nothing to relive
",158,4.329113924050633
Shania Twain,Man! I Feel Like A Woman!,1,happy,"Lets go girls
Cmon

Im goin out tonight Im feelin alright
Gonna let it all hang out
Wanna make some noise really raise my voice
Yeah I wanna scream and shout uh

No inhibitions make no conditions
Get a little outta line
I aint gonna act politically correct
I only wanna have a good time

The best thing about bein a woman
Is the prerogative to have a little fun and

Oh oh oh go totally crazy forget Im a lady
Mens shirts short skirts
Oh oh oh really go wild yeah doin it in style
Oh oh oh get in the action feel the attraction
",106,3.943396226415094
Björn Rosenström,Mamma,1,happy,"Mamma mamma de e bra
Bra yoo mamma yoo respekt du är perfekt
Mamma mamma de e bra
Bra jätte jättebra jajamen om du fattar va ja menar

Mamma frågade mig Har du träffat en tjej
Ja sa nej jag har ju dig räcker inte det
Jo det räcker mer än väl men du
Ska inte du gå till skolan nu
Jo ja ska bara gå till kompis först
Okej men sen går du till skolan va
Ja mamma jag gör det

Mamma hon förstår mig
Mamma hon förstår mig det är bra
Bra yoo mamma yoo respekt du är perfekt
Mamma hon förstår mig
Mamma hon förstår mig det är bra
",112,3.642857142857143
The Ataris,The Boys Of Summer,1,happy,"Nobody on the road
Nobody on the beach
I feel it in the air
The summers out of reach
Empty lake empty streets
The sun goes down alone
Im driving by your house
Though I know youre not home

I can see you
Your brown skin shining in the sun
You got your hair combed back and these
Sunglasses on baby
I can tell you

My love for you will still be strong
After the boys of summer have gone

I never will forget those nights
",86,3.8372093023255816
Angie Stone,U-Haul,2,relaxed,"Bet you realize this time that when you see my friends sitting outside they were there to help me pack my bags and tell me dont listen to you if youre beggin
Cause they know Im coming straight back home to you and they know Im a constant fool for you  so Im putting my things on a Uhaul and Im blockin out your number when you call
No conversation you can keep your words cause 90 I done already heard how long did you think that I would sit here for Im letting you know its not exceptional
No conversation you can save the games and anything you say I will remain the same How long did you think that I would sit here for destroying my soul it aint exceptional
I cant believe you even tried to blame me cause youre the one who changed Ive been the same me
And I been by your side like a 2 way and like a pager with no clamp thats how you lose me
",174,3.8620689655172415
The Pipettes,Dirty Mind,1,happy,"Hes got a dirty mind just dont know what youre gonna find

On her way from the school
She saw him she saw him
In a second she knew
She wanted him oh she wanted him
There was no trace on him
Of filth grime or dirt
An overwhelming urge
To smile laugh and flirt

There she goes with a twinkle in her eye
Dont take a genius to understand the reason why
There she goes with a twinkle in her eye
Dont take a genius to understand the reason why

Hes got a dirty mind just dont know what youre gonna find
",103,3.796116504854369
Katie Melua,If The Lights Go Out,2,relaxed,"They say the world must end somehow
They say the ends not far from now
I think theyre wrong
Dont worry your life away
Start living for today
Dont think about tomorrow

And if the lights go out on all of us
In just a year or two
And if the sky falls down like pouring rain
Then Ill be here with you
",63,3.7142857142857144
